Id,X,Y,V,U,T
345,218,218,763.5,1236.7,0
346,35,71,687.8,486.8,0
347,24,71,735.8,463.9,0
348,34,88,86.9,0.1,0
349,23,91,817,708.8,0
350,54,10,637.9,349.4,0
351,46,11,512.3,392,0
352,55,89,423.4,21.2,0
353,45,89,569.6,62.8,0
354,53,150,858,873,0
355,46,148,234,7.5,0
356,55,168,876,288.1,0
357,43,170,1082.8,1174.9,0
358,55,191,1392.6,1004.7,0
359,44,191,646.6,76.8,0
360,55,211,889.5,938.8,0
361,46,211,509.2,429.7,0
362,54,269,613.1,2922.4,0
363,43,271,767.8,198.1,0
364,73,29,649.4,231.7,0
365,64,31,235.4,10.8,0
366,75,129,782.8,639.3,0
367,64,129,227.3,8.6,0
368,73,149,722.9,696.1,0
369,64,151,974.5,664.1,0
370,75,171,512.2,144.8,0
371,63,168,1215.8,1446.1,0
372,73,188,687.1,2351.5,0
373,64,191,1259.9,1257.6,0
374,93,48,687.5,373.2,0
375,86,48,471.9,31.8,0
376,93,70,512.1,196.1,0
377,84,69,963.9,1210,0
378,93,90,874,1031.3,0
379,86,89,582.4,117,0
380,96,111,553.2,360.5,0
381,85,108,937.3,1495.5,0
382,93,131,883.6,1336.8,0
383,86,131,879.9,965.3,0
384,114,131,268.4,104.4,0
385,106,130,651.5,1957.7,0
386,155,229,386.4,88.2,0
387,145,230,333.2,63.5,0
388,174,208,339.2,335,0
389,166,211,600.3,647.6,0
390,215,89,595.2,1457,0
391,205,89,809.6,955.8,0
392,215,148,293.3,67.7,0
393,204,151,697.3,444.5,0
394,236,9,515.9,1593.8,0
395,223,9,613.2,277.6,0
396,236,229,665.3,1962,0
397,226,230,813.6,2279.8,0
398,35,80,174.8,2,0
399,24,79,891.8,635.7,0
400,36,61,699.6,1547.8,0
401,26,58,39.5,0.3,0
402,16,80,915.6,634.8,0
403,43,60,584,97.4,0
404,15,88,610,319.3,0
405,46,99,566.8,100.2,0
406,36,99,38.1,0,0
407,54,80,483,105,0
408,46,81,542.6,138.6,0
409,54,161,959.3,466.7,0
410,43,161,631.9,261.1,0
411,65,160,928.3,2252.5,0
412,33,160,431,48.6,0
413,36,170,672.3,605.5,0
414,53,179,1003.4,425.4,0
415,44,180,876.4,937.8,0
416,65,181,734.1,589.3,0
417,34,180,366,110.2,0
418,33,191,296.5,79.1,0
419,55,199,1069.2,376.4,0
420,46,198,804.3,674.6,0
421,63,201,731.1,1363.3,0
422,34,201,318.1,79.6,0
423,65,210,238.6,488.3,0
424,35,208,428.9,161.2,0
425,46,220,734.4,1236.1,0
426,36,219,429.1,152.3,0
427,35,217,597.4,397,0
428,53,258,442.6,1696.4,0
429,46,260,765.2,779.8,0
430,45,281,605.5,934.8,0
431,35,278,795.9,1588.3,0
432,35,259,235,18.9,0
433,84,30,562,85.3,0
434,84,41,411.4,34,0
435,75,40,696.7,356.2,0
436,73,141,790.9,607.3,0
437,63,140,696.5,357.8,0
438,84,138,687.3,893.4,0
439,76,159,597.5,997.3,0
440,84,161,437.4,387.2,0
441,86,169,317.4,761.7,0
442,73,199,470.7,5190.1,0
443,76,51,498.7,101.8,0
444,94,61,778.7,1354,0
445,85,60,523.3,117.5,0
446,104,38,617.1,200.2,0
447,93,41,395.5,28.4,0
448,75,90,518.9,113,0
449,94,101,383.7,12.9,0
450,85,100,704.1,126,0
451,104,109,562.3,908.6,0
452,75,110,655.3,349,0
453,95,121,823.6,548.4,0
454,83,119,847.7,701.4,0
455,94,140,607.5,723.2,0
456,103,139,491.2,565.3,0
457,114,120,319.5,154.2,0
458,104,118,594,289.2,0
459,196,91,433.5,254.1,0
460,215,101,209.6,4,0
461,204,101,533.8,127.3,0
462,196,101,592.4,419.4,0
463,195,149,478.7,141.9,0
464,216,11,660.2,1424.8,0
465,225,19,832.2,512.2,0
466,214,19,242.5,15.6,0
467,245,231,161.2,26.1,0
468,233,220,626,959.7,0
469,226,221,800.1,1681.5,0
470,213,218,482.6,476.2,0
